instrument,technique,F1_bw,F2_bw,F3_bw,F4_bw,F5_bw,F6_bw
Accordéon,backwards,140.0,161.5,140.0,118.4,107.7,107.7
Accordéon,bellowshake,172.3,172.3,150.7,193.8,226.1,592.2
Accordéon,breath,1615.0,1550.4,1087.4,290.7,2121.0,2508.6
Accordéon,combination_of_registers,129.2,150.7,129.2,118.4,118.4,118.4
Accordéon,crescendo,140.0,150.7,150.7,140.0,129.2,129.2
Accordéon,crescendo_to_decrescendo,118.4,140.0,118.4,129.2,118.4,107.7
Accordéon,decrescendo,172.3,172.3,193.8,204.6,215.3,193.8
Accordéon,difference_tones,96.9,150.7,107.7,107.7,161.5,
Accordéon,key_click,150.7,732.1,204.6,1593.5,2390.2,936.7
Accordéon,ordinario,107.7,129.2,129.2,118.4,107.7,107.7
Accordéon,sforzato,140.0,150.7,161.5,129.2,107.7,107.7
Accordéon,staccato,150.7,140.0,129.2,129.2,107.7,107.7
Accordéon,tap_on_body,215.3,96.9,129.2,,,
Alto,artificial_harmonic,140.0,129.2,118.4,140.0,129.2,118.4
Alto,artificial_harmonic_tremolo,161.5,118.4,107.7,140.0,140.0,118.4
Alto,behind_the_bridge,140.0,107.7,118.4,118.4,140.0,96.9
Alto,behind_the_fingerboard,172.3,204.6,129.2,172.3,140.0,140.0
Alto,chromatic_scale,183.0,161.5,193.8,236.9,463.0,236.9
Alto,col_legno_battuto,140.0,118.4,129.2,129.2,118.4,107.7
Alto,col_legno_tratto,150.7,129.2,107.7,118.4,107.7,118.4
Alto,crescendo,140.0,118.4,118.4,96.9,107.7,107.7
Alto,crescendo_to_decrescendo,140.0,118.4,107.7,118.4,107.7,107.7
Alto,crushed_to_ordinario,150.7,183.0,150.7,150.7,183.0,150.7
Alto,decrescendo,140.0,107.7,107.7,118.4,107.7,107.7
Alto,hit_on_body,150.7,387.6,247.6,129.2,193.8,204.6
Alto,natural_harmonics_glissandi,150.7,140.0,150.7,150.7,161.5,204.6
Alto,non_vibrato,129.2,118.4,107.7,107.7,107.7,118.4
Alto,note_lasting,118.4,107.7,96.9,107.7,107.7,118.4
Alto,on_the_bridge,150.7,129.2,172.3,215.3,150.7,236.9
Alto,on_the_frog,107.7,107.7,107.7,129.2,107.7,215.3
Alto,on_the_tuning_pegs,204.6,269.2,204.6,140.0,107.7,107.7
Alto,ordinario,118.4,107.7,107.7,107.7,96.9,107.7
Alto,ordinario_to_crushed,161.5,161.5,183.0,172.3,204.6,150.7
Alto,ordinario_to_sul_ponticello,150.7,129.2,107.7,118.4,107.7,118.4
Alto,ordinario_to_sul_tasto,140.0,107.7,118.4,118.4,129.2,129.2
Alto,ordinario_to_tremolo,140.0,107.7,107.7,107.7,107.7,118.4
Alto,pizzicato_bartok,118.4,118.4,129.2,129.2,118.4,118.4
Alto,pizzicato_l_vib,118.4,118.4,118.4,118.4,118.4,107.7
Alto,pizzicato_secco,107.7,107.7,118.4,118.4,107.7,107.7
Alto,sforzato,118.4,118.4,96.9,118.4,107.7,118.4
Alto,staccato,129.2,118.4,96.9,107.7,107.7,118.4
Alto,sul_ponticello,140.0,118.4,107.7,107.7,107.7,107.7
Alto,sul_ponticello_to_ordinario,140.0,129.2,118.4,107.7,107.7,118.4
