instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
Contrabass_Ensemble,grave,13,195.7,754.2,3.8534,1.0000,,40.55,4.104,0.930,0.000,0.898,1.977,-1.977
Contrabass_Ensemble,médium,12,213.8,713.2,3.3758,1.0000,,43.28,3.291,0.930,0.000,1.206,1.809,-1.809
Contrabass+sordina,grave,11,699.5,2040.1,2.9567,0.9986,,36.62,2.578,0.926,0.000,0.453,1.319,-1.319
Contrabass_Ensemble,aigu,12,400.5,964.4,2.4727,0.9988,,43.83,1.754,0.927,0.000,1.268,1.316,-1.316
Contrabass,grave,13,640.2,1763.0,2.7700,0.9962,,38.48,2.260,0.919,0.000,0.664,1.281,-1.281
Bass_Tuba,médium,12,385.2,985.1,2.5587,1.0000,,39.53,1.900,0.930,0.000,0.783,1.204,-1.204
Bass_Flute,grave,2,579.3,1275.2,2.2043,0.9952,,44.48,1.297,0.916,0.000,1.342,1.185,-1.185
Harp,médium,24,503.0,1267.0,2.5428,0.9967,,39.32,1.873,0.921,0.000,0.758,1.184,-1.184
Trombone+sordina_harmon,grave,17,651.7,1923.8,3.0001,0.9903,,32.35,2.652,0.902,0.000,-0.028,1.175,-1.175
Contrabass,médium,41,830.1,2019.7,2.5915,0.9882,,38.23,1.956,0.895,0.000,0.636,1.162,-1.162
Contrabass_Flute,grave,4,738.2,1497.2,2.0304,0.9734,,46.70,1.001,0.852,0.000,1.592,1.148,-1.148
Violoncello+sordina,grave,7,887.5,2232.3,2.5360,0.9948,,38.25,1.862,0.915,0.000,0.637,1.138,-1.138
Guitar,grave,35,461.5,1042.2,2.2769,0.9970,,41.84,1.421,0.921,0.000,1.043,1.128,-1.128
Bass_Tuba,grave,12,388.2,942.0,2.4041,1.0000,,38.38,1.637,0.930,0.000,0.652,1.073,-1.073
Contrabass_Tuba,médium,12,386.8,670.7,1.7425,0.9999,,48.31,0.511,0.930,0.000,1.774,1.072,-1.072
