instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
Contrabass_Ensemble,grave,32,-26.8442,40.7026,-6.5977,14.3989,-6.5761,5.8787,1.6266,0.5440,3.7443,-3.8099,3.5949,-2.0254,1.1853
Contrabass+sordina,grave,33,-25.3511,36.5913,-10.3362,15.4164,-6.3693,7.4770,0.4367,-0.7682,4.3252,-3.4117,4.1793,-2.5412,1.6298
Contrabass,grave,39,-22.6667,38.2003,-10.5578,14.8628,-7.6052,6.9029,0.9202,0.3732,4.6779,-4.1037,3.3736,-3.2015,1.8143
Guitar,grave,59,-29.4858,40.7139,-7.5591,12.1004,-5.2817,4.6909,-0.4468,-0.7097,2.8630,-3.4630,3.0486,-3.0148,0.4053
Bass_Flute,grave,6,-5.6586,41.3331,-14.0213,17.7247,-13.5473,4.8096,-2.7855,-3.3020,3.6004,-7.3105,2.0288,-6.4059,-1.2529
Contrabass_Tuba,médium,44,-15.6291,48.0613,-5.3517,15.9569,-8.6784,4.0009,-0.6983,-2.9942,2.3340,-4.0368,3.3770,-2.8109,0.5609
Contrabass,médium,123,-21.8099,38.3615,-11.2722,14.6515,-7.5302,6.8675,0.4311,-0.3334,4.5566,-3.8455,3.5662,-3.1813,1.6248
Trombone+sordina_harmon,grave,17,-43.1645,32.3510,-6.0515,13.2788,-3.4324,4.6831,-0.3854,1.5862,5.8234,-2.5849,1.8210,-3.0196,0.6208
Bass_Tuba,médium,36,-37.9343,39.5031,-1.1031,13.9381,-5.5779,3.3524,-1.6139,-2.4288,2.0829,-3.3896,2.2556,-2.1446,1.1552
Contrabass_Flute,grave,12,-2.2709,43.4895,-13.7505,19.1108,-12.8396,5.3844,-1.0915,-1.6563,5.8898,-4.2757,4.6598,-3.5174,1.7926
Contrabass_Ensemble,médium,30,-20.7566,41.7411,-9.9519,13.7512,-7.5247,6.0508,1.0331,-0.4022,3.5269,-4.1136,3.7563,-2.4769,1.0237
Violoncello+sordina,grave,21,-19.7475,38.0574,-11.7613,15.8309,-7.9978,6.5976,-0.1401,-1.0765,3.0355,-4.9093,4.6992,-2.6539,1.7071
Contrabass_Tuba,grave,74,-18.2145,48.1161,-5.0060,13.7153,-9.2728,3.6377,-0.4629,-2.5005,2.3091,-3.9954,2.9919,-2.8768,0.4625
Contrabass+sordina,médium,53,-25.7705,35.8804,-11.0805,14.8772,-6.8896,7.1895,0.6744,-0.6153,4.2018,-3.6561,3.7439,-2.9857,1.3154
Harp,médium,72,-37.7152,38.7038,-4.4981,10.1400,-6.4916,4.3912,-0.3432,-1.3161,2.3039,-3.5497,2.3220,-2.7343,0.2265
Marimba,grave,11,-23.5078,41.3879,-6.9365,16.2977,-5.0031,7.4815,1.2082,-0.0949,3.5888,-3.5082,5.0699,-1.2395,1.7904
Violoncello+sordina_piombo,grave,16,-26.1204,34.1276,-9.9309,17.5026,-8.1856,5.4192,-0.5496,-0.4281,4.9213,-3.0257,4.8746,-3.2594,1.4194
Horn+sordina,grave,14,-49.7548,35.4421,-1.4402,8.5390,-6.4173,1.4746,-0.7628,-0.9764,0.9891,-3.8040,2.0584,-0.8568,1.0863
Contrebasson,médium,35,-6.3912,47.4322,-12.3571,16.0979,-8.4110,4.4106,-2.1690,-2.5416,3.0521,-4.8119,4.0950,-3.4470,0.7582
Bass_Tuba,grave,36,-40.7778,38.7453,-0.8436,13.0917,-5.5377,2.6656,-1.7730,-2.6325,1.6536,-3.4678,1.9083,-1.9645,1.1991
Horn,pédale,3,-46.9094,34.3703,-2.4310,12.8100,-3.8859,1.8915,-2.4754,-2.6748,1.4507,-3.3804,2.3712,-0.9061,0.0051
Contrebasson,grave,39,-9.6121,47.7389,-11.1059,15.5985,-7.3814,4.1395,-1.4123,-2.4437,2.3249,-4.6984,3.7235,-3.0211,0.7248
Contrebasson,aigu,36,-5.0653,46.6117,-13.6381,15.4189,-9.8099,4.5939,-2.9983,-3.5235,2.9027,-5.5578,3.6042,-4.0079,0.5116
Contrabass_Tuba,aigu,32,-15.3922,45.1018,-8.4760,14.0363,-11.6995,1.9692,-3.5936,-4.8704,0.6261,-6.5250,2.0634,-4.3057,0.0039
