instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
Contrabass_Ensemble,grave,32,349.6,1008.2,2.9217,0.9993,,40.70,2.593,0.910,0.000,0.970,1.491,-1.491
Contrabass+sordina,grave,33,706.3,2040.1,2.9850,0.9988,,36.59,2.706,0.909,0.000,0.470,1.362,-1.362
Contrabass,grave,39,660.9,1806.7,2.8135,0.9958,,38.20,2.400,0.900,0.000,0.666,1.322,-1.322
Guitar,grave,59,489.0,1187.3,2.4814,0.9965,,40.71,1.806,0.902,0.000,0.972,1.227,-1.227
Bass_Flute,grave,6,825.1,1910.9,2.4516,0.9854,,41.33,1.753,0.868,0.000,1.047,1.222,-1.222
Contrabass_Tuba,médium,44,417.0,803.3,1.9680,0.9983,,48.06,0.889,0.907,0.000,1.866,1.221,-1.221
Contrabass,médium,123,837.1,2028.2,2.6353,0.9890,,38.36,2.081,0.879,0.000,0.685,1.215,-1.215
Trombone+sordina_harmon,grave,17,651.7,1923.8,3.0001,0.9903,,32.35,2.733,0.883,0.000,-0.046,1.190,-1.190
Bass_Tuba,médium,36,505.5,1168.5,2.5006,0.9949,,39.50,1.841,0.897,0.000,0.824,1.187,-1.187
Contrabass_Flute,grave,12,977.8,2173.6,2.2470,0.9763,,43.49,1.387,0.840,0.000,1.309,1.179,-1.179
Contrabass_Ensemble,médium,30,607.6,1297.3,2.3290,0.9930,,41.74,1.534,0.891,0.000,1.097,1.174,-1.174
Violoncello+sordina,grave,21,877.1,2206.1,2.5507,0.9950,,38.06,1.930,0.897,0.000,0.648,1.159,-1.159
Contrabass_Tuba,grave,74,436.2,777.4,1.8403,0.9972,,48.12,0.660,0.904,0.000,1.872,1.146,-1.146
Contrabass+sordina,médium,53,984.0,2382.6,2.6753,0.9913,,35.88,2.153,0.886,0.000,0.383,1.141,-1.141
Harp,médium,72,658.9,1588.8,2.4590,0.9913,,38.70,1.766,0.886,0.000,0.727,1.126,-1.126
Marimba,grave,11,287.5,948.2,3.3401,0.9999,0.002609,41.39,3.341,0.912,-1.000,1.054,1.077,-1.077
Violoncello+sordina_piombo,grave,16,1026.0,2687.2,2.6681,0.9982,,34.13,2.140,0.907,0.000,0.170,1.072,-1.072
Horn+sordina,grave,14,673.2,1699.4,2.5322,0.9972,,35.44,1.897,0.904,0.000,0.330,1.044,-1.044
Contrebasson,médium,35,510.1,883.1,1.7256,0.9975,0.003138,47.43,0.455,0.905,1.000,1.789,1.037,-1.037
Bass_Tuba,grave,36,515.7,1114.3,2.2822,0.9949,,38.75,1.450,0.897,0.000,0.732,1.026,-1.026
Horn,pédale,3,554.9,1440.0,2.5667,0.9997,,34.37,1.959,0.912,0.000,0.200,1.023,-1.023
Contrebasson,grave,39,437.2,732.5,1.6601,0.9984,0.003138,47.74,0.338,0.908,1.000,1.826,1.018,-1.018
Contrebasson,aigu,36,591.5,1033.4,1.7389,0.9966,0.003138,46.61,0.479,0.902,1.000,1.689,1.018,-1.018
Contrabass_Tuba,aigu,32,522.5,956.0,1.8281,0.9965,,45.10,0.638,0.902,0.000,1.506,1.015,-1.015
Horn+sordina,médium,17,743.0,1899.2,2.5467,0.9972,,34.35,1.923,0.904,0.000,0.197,1.008,-1.008
Harp,grave,40,702.9,1644.6,2.3336,0.9908,,37.01,1.542,0.884,0.000,0.521,0.982,-0.982
Guitar,médium,74,702.4,1406.3,2.0864,0.9786,,39.58,1.100,0.847,0.000,0.834,0.927,-0.927
Violoncello_Ensemble+sordina,grave,8,798.6,1614.6,2.0309,0.9967,,39.74,1.001,0.902,0.000,0.853,0.919,-0.919
Violoncello,grave,27,1021.5,2154.7,2.1550,0.9779,,38.31,1.223,0.844,0.000,0.679,0.916,-0.916
Violoncello+sordina,médium,42,1277.0,2701.8,2.1918,0.9884,,37.18,1.289,0.877,0.000,0.542,0.902,-0.902
Bassoon+sordina,bas_médium,12,875.7,1731.5,1.9639,0.9862,,40.55,0.881,0.870,0.000,0.952,0.901,-0.901
Bass_Tuba,aigu,27,570.9,1157.9,2.0454,0.9940,,39.06,1.027,0.894,0.000,0.771,0.897,-0.897
Violoncello_Ensemble,grave,28,806.0,1448.4,1.8095,0.9917,,42.22,0.605,0.887,0.000,1.155,0.882,-0.882
Vibraphone,grave,3,469.7,1042.5,2.2465,0.9995,,35.41,1.386,0.911,0.000,0.326,0.875,-0.875
Bassoon+sordina,grave,11,592.6,1071.4,1.8369,0.9962,,41.43,0.654,0.901,0.000,1.059,0.871,-0.871
Bass_Clarinet_Bb,grave,57,928.6,1286.5,1.5977,0.8984,,47.18,0.227,0.600,0.000,1.758,0.861,-0.861
Bass_Tuba+sordina,médium,24,865.2,1693.8,2.1387,0.9102,,38.88,1.194,0.636,0.000,0.748,0.859,-0.859
Horn,grave,41,677.5,1230.0,1.9604,0.9849,,38.62,0.875,0.866,0.000,0.717,0.819,-0.819
Bassoon,grave,36,799.4,1475.2,1.8392,0.9795,,40.40,0.658,0.849,0.000,0.933,0.814,-0.814
Violoncello_Ensemble+sordina,médium,12,1072.9,1870.5,1.7984,0.9932,,39.88,0.585,0.892,0.000,0.870,0.782,-0.782
Viola_Ensemble+sordina,grave,8,931.8,1568.1,1.7007,0.9973,,40.87,0.411,0.904,0.000,0.991,0.769,-0.769
Horn+sordina,pédale,2,920.6,1954.5,2.0929,0.9682,,35.68,1.112,0.815,0.000,0.359,0.762,-0.762
Bassoon,bas_médium,36,992.0,1827.2,1.8500,0.9636,,39.22,0.678,0.800,0.000,0.790,0.756,-0.756
Bassoon+sordina,haut_médium,12,1134.4,2286.5,2.0159,0.9473,,37.09,0.974,0.750,0.000,0.531,0.752,-0.752
Violoncello_Ensemble,médium,48,1063.1,1678.3,1.6016,0.9740,,42.32,0.233,0.832,0.000,1.168,0.745,-0.745
Contrabass_Ensemble,aigu,30,1129.0,1819.4,1.6758,0.9637,,40.88,0.366,0.801,0.000,0.992,0.720,-0.720
Contrabass,aigu,105,1434.0,2631.1,1.9241,0.9405,,36.78,0.810,0.729,0.000,0.493,0.677,-0.677
Bass_Tuba+sordina,aigu,18,961.7,1711.5,1.9638,0.8787,,37.62,0.881,0.539,0.000,0.595,0.672,-0.672
Bass_Tuba+sordina,grave,36,818.1,1432.2,1.8954,0.9164,,37.63,0.759,0.655,0.000,0.596,0.670,-0.670
Trombone+sordina_wah,grave,26,971.5,1993.3,2.0425,0.9465,,34.70,1.022,0.748,0.000,0.240,0.670,-0.670
Horn,médium,51,778.2,1146.3,1.6354,0.9788,,39.78,0.294,0.847,0.000,0.857,0.666,-0.666
Bass_Tuba,suraigu,9,582.8,937.9,1.6311,0.9924,,39.18,0.286,0.889,0.000,0.785,0.653,-0.653
