instrument,technique,technique_family,n_samples,F1_hz,F2_hz,F3_hz,F4_hz,F5_hz,F6_hz,reliability_score,rugosity,suddenness,mean_kurtosis,mean_irregularity
Bass_Clarinet_Bb,aeolian,extended,23,635.2294921875,1410.4248046875,1798.0224609375,2164.0869140625,2530.1513671875,3703.7109375,0.569,0.451,1.305,2.508,0.031
Bass_Clarinet_Bb,flatterzunge,extended,28,333.7646484375,785.9619140625,1388.8916015625,1851.85546875,2185.6201171875,2605.517578125,0.995,0.661,1.89,2.762,0.028
Bass_Clarinet_Bb,ordinario,ordinario,173,322.998046875,807.4951171875,1259.6923828125,1647.2900390625,2034.8876953125,2368.65234375,0.882,0.893,3.089,3.194,0.027
Bass_Flute,aeolian,extended,13,279.931640625,602.9296875,915.1611328125,1378.125,1873.388671875,3090.0146484375,0.268,0.411,1.374,2.807,0.028
Bass_Flute,flatterzunge,extended,39,279.931640625,624.462890625,1065.8935546875,1550.390625,1927.2216796875,3057.71484375,0.68,0.629,2.021,2.685,0.031
Bass_Flute,ordinario,ordinario,39,301.46484375,667.529296875,958.2275390625,1399.658203125,1884.1552734375,2713.18359375,0.497,0.621,2.007,3.095,0.03
Bass_Trombone,ordinario,ordinario,144,258.3984375,538.330078125,818.26171875,1173.5595703125,1475.0244140625,1830.322265625,0.508,0.575,3.058,8.98,0.017
Bass_Tuba+sordina_Yan,flatterzunge,extended,41,204.5654296875,462.9638671875,850.5615234375,1302.7587890625,1571.923828125,2110.25390625,0.334,0.491,1.672,1.809,0.023
Clarinet_Eb,aeolian,extended,19,882.861328125,1528.857421875,2002.587890625,2217.919921875,2583.984375,2928.515625,0.569,0.618,2.156,2.266,0.036
Clarinet_Eb,aeolian-flatterzunge,extended,19,355.2978515625,1787.255859375,2271.7529296875,2702.4169921875,3359.1796875,3929.8095703125,1.84,0.532,1.865,2.048,0.034
Clarinet_Eb,ordinario,ordinario,45,678.2958984375,1539.6240234375,1959.521484375,2347.119140625,3143.84765625,3531.4453125,0.902,1.195,3.788,3.646,0.031
Contrabass_Clarinet_Bb,aeolian,extended,23,366.064453125,1227.392578125,1647.2900390625,1905.6884765625,2594.7509765625,2960.8154296875,1.072,0.466,1.473,2.414,0.027
Contrabass_Clarinet_Bb,ordinario,ordinario,45,322.998046875,936.6943359375,1248.92578125,1647.2900390625,1937.98828125,2799.31640625,0.489,0.526,1.496,2.794,0.026
Contrabass_Ensemble,flautando,ordinario,18,172.265625,452.197265625,947.4609375,1022.8271484375,1324.2919921875,1561.1572265625,0.101,0.417,2.162,2.822,0.019
Contrabass_Ensemble,non-vibrato,ordinario,76,172.265625,441.4306640625,753.662109375,1022.8271484375,1291.9921875,1550.390625,0.086,0.421,2.241,3.911,0.021
Contrabass_Ensemble,pizzicato-l-vib,pizzicato,98,172.265625,441.4306640625,764.4287109375,1033.59375,0,0,0.089,0.508,2.603,3.188,0.019
Contrabass_Flute,aeolian,extended,13,226.0986328125,592.1630859375,1022.8271484375,1248.92578125,1593.45703125,1970.2880859375,0.488,0.405,1.265,2.657,0.029
Contrabass_Flute,flatterzunge,extended,39,204.5654296875,581.396484375,1022.8271484375,1291.9921875,1798.0224609375,2422.4853515625,0.872,0.521,1.604,2.384,0.032
Contrabass_Flute,ordinario,ordinario,37,333.7646484375,678.2958984375,1033.59375,1421.19140625,1798.0224609375,2411.71875,0.496,0.538,1.672,2.772,0.031
Contrabass_Tuba,flatterzunge,extended,32,215.33203125,462.9638671875,721.3623046875,1022.8271484375,1431.9580078125,1561.1572265625,0.037,0.47,3.195,1.871,0.017
Contrabass_Tuba,ordinario,ordinario,135,226.0986328125,462.9638671875,732.12890625,1259.6923828125,1388.8916015625,1851.85546875,0.213,0.52,2.938,1.934,0.019
Contrabassoon,non-vibrato,ordinario,106,226.0986328125,656.7626953125,1012.060546875,1238.1591796875,1614.990234375,1819.5556640625,0.212,0.548,2.501,2.332,0.021
Cow_Bell,ordinario-soft-mallet,ordinario,21,527.5634765625,915.1611328125,1410.4248046875,2756.25,2390.185546875,4059.0087890625,0.425,1.028,3.232,3.176,0.025
Cow_Bell,tremolo-soft-mallet,tremolo,5,312.2314453125,624.462890625,893.6279296875,0,0,0,0.13,0.839,2.708,2.637,0.021
English_Horn,flatterzunge,extended,32,506.0302734375,990.52734375,1399.658203125,2110.25390625,3703.7109375,4317.4072265625,0.547,1.209,3.69,4.185,0.025
